participant,session,repetition,mean_timing,median_timing,std_timing,max_timing,total time
p044,1,1,0.28267391304347816,0.26,0.16884694638739497,0.816,2.84
p044,1,2,0.2380652173913043,0.1915,0.16405018231882762,0.695,2.392
p044,1,3,0.2515869565217391,0.20850000000000002,0.1844501228681807,0.703,2.538
p044,1,4,0.3230652173913043,0.1675,0.33116524255180546,1.129,3.418
p044,1,5,0.2280217391304348,0.16,0.16994698377637066,0.657,2.321
p044,1,6,0.22902173913043472,0.2195,0.1182536800706073,0.513,2.335
p044,1,7,0.19130434782608696,0.14100000000000001,0.1447164076645872,0.592,1.913
p044,1,8,0.32180434782608697,0.2605,0.2599480819587051,1.064,3.417
p044,1,9,0.32636956521739124,0.1765,0.3935593903336659,1.537,3.473
p044,1,10,0.18810869565217392,0.1325,0.13922471496124045,0.545,1.88
p044,1,11,0.20519565217391306,0.152,0.14790636971712393,0.576,2.081
p044,1,12,0.22406521739130428,0.1805,0.1734553931993805,0.76,2.305
p044,1,13,0.30471739130434783,0.28800000000000003,0.15535531504600503,0.728,3.114
p044,1,14,0.21350000000000002,0.1315,0.19124919752918065,0.743,2.208
p044,1,15,0.1594782608695653,0.11599999999999999,0.11345772372326077,0.424,1.6
p044,1,16,0.20682608695652172,0.14350000000000002,0.1720191597013188,0.656,2.096
p044,1,17,0.24458695652173915,0.20850000000000002,0.16067960889601346,0.624,2.506
p044,1,18,0.2446304347826087,0.1245,0.3411188361648671,1.367,2.511
p044,1,19,0.1887391304347826,0.159,0.11341887649722916,0.471,1.896
p044,1,20,0.19534782608695653,0.164,0.1158986563801524,0.488,1.96
p044,1,21,0.1717826086956522,0.152,0.10718207002696721,0.423,1.712
p044,1,22,0.24278260869565219,0.1765,0.1855114148082392,0.703,2.497
p044,1,23,0.16441304347826088,0.153,0.08743799735608376,0.393,1.608
p044,1,24,0.2317608695652174,0.1805,0.17027104990215633,0.68,2.337
p044,1,25,0.18091304347826093,0.156,0.10547581630917562,0.424,1.765
p044,1,26,0.26502173913043486,0.2515,0.14394111282518507,0.648,2.712
p044,1,27,0.20667391304347837,0.2165,0.09699348302227459,0.4,2.065
p044,1,28,0.2463260869565217,0.176,0.2068344538618937,0.945,2.529
p044,1,29,0.194195652173913,0.1315,0.20148643401427166,0.864,1.975
p044,1,30,0.15050000000000005,0.128,0.09524605561970065,0.432,1.48
p044,1,31,0.11643478260869569,0.104,0.06634309883691765,0.263,1.082
p044,1,32,0.14908695652173917,0.105,0.14704252235881468,0.655,1.456
p044,1,33,0.1934130434782609,0.184,0.10288884532714722,0.456,1.841
p044,1,34,0.1944347826086957,0.1325,0.19568224267065817,0.848,1.954
p044,1,35,0.16491304347826088,0.151,0.10847238790216646,0.473,1.576
p044,1,36,0.32932608695652166,0.248,0.28623029223552965,1.04,3.441
p044,1,37,0.14426086956521741,0.119,0.09830303144022652,0.376,1.393
p044,1,38,0.36186956521739116,0.23199999999999998,1.7924151008401503,4.184,3.872
p044,1,39,0.1905869565217392,0.168,0.09941486052272881,0.455,1.792
p044,1,40,0.31986956521739124,0.264,0.23567318319096536,1.024,3.29
p044,1,41,0.21341304347826084,0.16849999999999998,0.1533599362555592,0.703,2.128
p044,1,42,0.18078260869565219,0.1445,0.1159787170214103,0.505,1.714
p044,1,43,0.14628260869565218,0.1355,0.08749620005551435,0.399,1.337
p044,1,44,0.19686956521739132,0.14400000000000002,0.13938063131753073,0.543,1.938
p044,1,45,0.35221739130434787,0.23049999999999998,0.2934552710981108,1.008,3.713
p044,1,46,0.179195652173913,0.145,0.11003587688976059,0.456,1.769
p044,1,47,0.15284782608695657,0.132,0.09139461870647754,0.415,1.456
p044,1,48,0.13408695652173916,0.1175,0.0751066874036768,0.303,1.249
p044,1,49,0.14054347826086958,0.12,0.08427460577625955,0.377,1.337
p044,1,50,0.15913043478260872,0.1355,0.10020969318731424,0.448,1.544
